Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
9.472222222,7.388888889,0.89,14.1197,251,15.8263,1015.13
9.355555556,7.227777778,0.86,14.2646,259,15.8263,1015.63
9.377777778,9.377777778,0.89,3.9284,204,14.9569,1015.94
8.288888889,5.944444444,0.83,14.1036,269,15.8263,1016.41
8.755555556,6.977777778,0.83,11.0446,259,15.8263,1016.51
9.222222222,7.111111111,0.85,13.9587,258,14.9569,1016.66
7.733333333,5.522222222,0.95,12.3648,259,9.982,1016.72
8.772222222,6.527777778,0.89,14.1519,260,9.982,1016.84
10.82222222,10.82222222,0.82,11.3183,259,9.982,1017.37
13.77222222,13.77222222,0.72,12.5258,279,9.982,1017.22
16.01666667,16.01666667,0.67,17.5651,290,11.2056,1017.42
17.14444444,17.14444444,0.54,19.7869,316,11.4471,1017.74
17.8,17.8,0.55,21.9443,281,11.27,1017.59
17.33333333,17.33333333,0.51,20.6885,289,11.27,1017.48
18.87777778,18.87777778,0.47,15.3755,262,11.4471,1017.17
18.91111111,18.91111111,0.46,10.4006,288,11.27,1016.47
15.38888889,15.38888889,0.6,14.4095,251,11.27,1016.15
15.55,15.55,0.63,11.1573,230,11.4471,1016.17
14.25555556,14.25555556,0.69,8.5169,163,11.2056,1015.82
13.14444444,13.14444444,0.7,7.6314,139,11.2056,1015.83
11.55,11.55,0.77,7.3899,147,11.0285,1015.85
11.18333333,11.18333333,0.76,4.9266,160,9.982,1015.77
10.11666667,10.11666667,0.79,6.6493,163,15.8263,1015.4
10.2,10.2,0.77,3.9284,152,14.9569,1015.51
10.42222222,10.42222222,0.62,16.9855,150,15.8263,1014.4
9.911111111,7.566666667,0.66,17.2109,149,15.8263,1014.2
11.18333333,11.18333333,0.8,10.8192,163,14.9569,1008.71
7.155555556,5.044444444,0.79,11.0768,180,15.8263,1014.47
6.111111111,4.816666667,0.82,6.6493,161,15.8263,1014.45
6.788888889,4.272222222,0.83,13.0088,135,14.9569,1014.49
7.261111111,5.155555556,0.85,11.1734,141,6.1985,1014.52
7.8,5.527777778,0.83,12.8156,150,8.05,1014.16
9.872222222,7.933333333,0.78,13.7494,160,9.982,1014.24
12.22222222,12.22222222,0.72,15.6331,150,9.982,1014.25
15.09444444,15.09444444,0.61,17.549,151,9.982,1013.96
17.35555556,17.35555556,0.52,22.7815,169,9.982,1013.85
19.00555556,19.00555556,0.46,23.8924,169,9.982,1013.04
20.04444444,20.04444444,0.4,28.3682,170,9.982,1012.22
21.05,21.05,0.4,26.9031,187,10.3523,1011.44
21.18333333,21.18333333,0.37,25.6956,179,9.982,1010.52
20.11666667,20.11666667,0.4,25.3092,162,9.982,1009.83
20.21666667,20.21666667,0.36,18.1125,161,10.3523,1009.26
20,20,0.43,23.4255,160,9.982,1008.76
17.8,17.8,0.5,20.0445,150,11.2056,1008.36
16.06111111,16.06111111,0.53,21.3969,149,9.982,1008.11
15.02222222,15.02222222,0.55,21.3808,159,9.982,1008.15
14.42222222,14.42222222,0.58,20.0123,159,15.8263,1007.85
14.25555556,14.25555556,0.59,16.5025,168,14.9569,1007.89
13.77222222,13.77222222,0.6,17.0982,160,15.8263,1007.36
13.28333333,13.28333333,0.63,14.3612,160,15.8263,1007.26
8.633333333,5.466666667,0.87,22.0409,32,6.6976,1005.1
11.25,11.25,0.83,11.3344,152,15.8263,1007.01
11.18333333,11.18333333,0.89,11.2056,180,9.9015,1006.73
10.69444444,10.69444444,0.95,10.4006,161,6.6976,1006.59
11.11111111,11.11111111,0.93,12.0106,140,5.9731,1006.34
11.11111111,11.11111111,0.93,9.2092,103,10.8031,1006.09
12.16666667,12.16666667,0.82,9.9015,113,10.6743,1005.97
12.75555556,12.75555556,0.79,13.8299,129,10.8192,1005.63
13.83888889,13.83888889,0.84,9.0965,159,10.8192,1005.83
16.18333333,16.18333333,0.73,0.644,207,10.7548,1005.97
17.51666667,17.51666667,0.67,0.6762,153,10.8997,1005.64
17.38333333,17.38333333,0.67,3.864,4,10.8514,1005.2
17.36111111,17.36111111,0.71,7.8246,341,11.0768,1005.1
17.20555556,17.20555556,0.74,15.5848,15,10.8514,1004.65
15.63333333,15.63333333,0.81,23.6992,348,10.8836,1004.04
13.57777778,13.57777778,0.9,20.9622,321,7.6153,1004.08
10.91111111,10.91111111,0.86,22.3951,311,2.6565,1004.61
8.8,5.294444444,0.99,26.5006,339,2.6565,1004.99
8.961111111,5.777777778,0.93,23.2162,340,3.8157,1004.85
8.2,4.605555556,0.96,25.4219,330,4.4919,1004.96
7.688888889,3.722222222,0.96,28.1267,339,4.4436,1005.14
7.766666667,4.65,0.96,19.2878,339,5.6833,1005.05
8.2,5.072222222,0.96,20.447,341,3.1073,1004.8
8.177777778,4.372222222,0.93,27.8691,19,3.2039,1004.89
7.311111111,6.183333333,0.82,6.7459,277,14.0553,1007
7.644444444,5.038888889,0.93,14.9086,9,6.118,1004.3
6.622222222,2.616666667,0.93,25.0355,0,6.118,1003.68
6.683333333,3.222222222,0.93,19.8352,350,6.1663,1003.86
6.088888889,1.65,0.93,28.0945,349,7.9695,1003.57
6.066666667,1.633333333,0.93,27.9818,348,6.3434,1003.96
6.144444444,1.494444444,0.93,30.8637,349,10.5455,1004.1
7.133333333,2.688888889,0.8,32.1678,349,11.2056,1004.26
7.205555556,3.233333333,0.86,26.5328,339,11.27,1004.18
7.566666667,3.544444444,0.84,28.336,339,10.5455,1004.23
8.9,5.161111111,0.77,29.8333,348,11.27,1004.47
9.961111111,6.644444444,0.71,28.4809,339,11.27,1004.52
9.888888889,6.55,0.71,28.5131,338,11.0768,1004.29
11.06666667,11.06666667,0.71,25.6956,320,11.27,1003.93
10.11666667,10.11666667,0.76,25.3414,311,11.27,1004
11.03888889,11.03888889,0.66,21.413,311,9.982,1004.3
10.65,10.65,0.7,17.8549,310,14.9086,1004
10.05,10.05,0.7,15.1984,328,9.982,1004.39
9.9,7.716666667,0.66,15.7297,348,11.0285,1005.48
8.794444444,6.816666667,0.71,12.3648,20,9.982,1005.89
7.827777778,5.405555556,0.72,13.8943,28,15.8263,1006.37
7.855555556,6.122222222,0.72,9.8049,11,15.0052,1006.56
7.316666667,6.211111111,0.75,6.6654,326,15.8746,1007.07
7.244444444,6.005555556,0.75,7.1162,309,15.8746,1007.37
5.438888889,5.438888889,0.88,3.7191,193,9.982,1012.23
7.2,4.55,0.76,14.4739,273,15.8263,1007.28
6.688888889,3.161111111,0.7,20.5275,300,15.8263,1007.18
6.211111111,2.694444444,0.73,19.3039,309,14.9569,1007.39
6.111111111,2.8,0.76,17.4363,300,9.982,1007.67
6.111111111,2.438888889,0.76,20.4148,300,9.982,1007.98
6.172222222,2.922222222,0.76,17.0499,307,9.982,1008.57
7.222222222,3.833333333,0.71,20.5114,319,9.982,1008.87
7.288888889,4.244444444,0.73,17.6456,328,9.982,1009.44
7.405555556,4.816666667,0.72,14.4095,318,9.982,1010.03
7.961111111,6.072222222,0.7,10.7548,321,10.0464,1010.22
8.033333333,7.583333333,0.7,4.8622,349,10.0464,1010.39
9.077777778,9.077777778,0.65,2.3828,348,10.0303,1010.24
9.05,9.05,0.62,0.322,243,9.982,1010
9.05,9.05,0.65,3.2522,177,11.2056,1009.98
9.183333333,9.183333333,0.65,3.0107,170,11.0285,1010.05
9.072222222,7.455555556,0.7,10.465,172,9.982,1010.1
7.983333333,6.811111111,0.75,7.3416,172,9.982,1010.39
8.072222222,6.433333333,0.75,9.5151,150,9.982,1010.91
7.894444444,6.127777778,0.82,9.9981,142,9.982,1011.32
7.311111111,4.805555556,0.83,13.685,141,11.9784,1011.61
7.338888889,5.183333333,0.84,11.5437,141,14.168,1011.97
6.622222222,4.111111111,0.85,12.719,142,14.9086,1012.22
6.066666667,3.411111111,0.88,12.8961,130,14.9086,1012.74
8.338888889,8.338888889,0.88,0.6923,359,15.0052,1015.35
5.183333333,4.111111111,0.91,5.5384,166,9.982,1013.29
3.722222222,2.566666667,0.94,5.2003,145,9.982,1013.39
4.855555556,3.705555556,0.93,5.6189,170,5.9248,1013.45
5.211111111,5.211111111,0.92,4.7656,178,1.2236,1013.4
6.255555556,4.638888889,0.92,7.9212,223,7.2128,1013.81
7.794444444,6.055555556,0.87,9.7566,240,10.6743,1014.7
10.05,10.05,0.76,9.6922,231,11.2056,1014.67
12.2,12.2,0.66,14.49,230,9.982,1014.66
12.7,12.7,0.63,20.3343,214,11.0285,1014.8
13.93333333,13.93333333,0.58,23.5865,222,11.27,1014.47
15.09444444,15.09444444,0.59,22.2985,241,11.27,1014.16
15.15,15.15,0.5,14.7154,235,11.4471,1014.07
16.17777778,16.17777778,0.44,14.49,238,11.27,1013.34
16.25,16.25,0.55,14.7154,211,11.27,1012.72
16.29444444,16.29444444,0.5,19.5937,221,11.4471,1012.38
16.1,16.1,0.56,14.8281,215,11.1251,1012.38
12.95555556,12.95555556,0.68,11.9784,224,11.27,1012.72
13.85,13.85,0.64,11.5598,231,11.4471,1013.42
12.77777778,12.77777778,0.69,14.2485,358,10.0464,1014.41
12.15,12.15,0.72,11.2539,8,15.8746,1014.89
10.67777778,10.67777778,0.81,5.7799,59,15.0052,1014.91
10.44444444,10.44444444,0.83,2.6404,63,15.8746,1014.75
9.822222222,9.466666667,0.8,5.313,65,15.8746,1015.55
11.02777778,11.02777778,0.74,11.3827,146,14.9569,1015.7
7.138888889,7.138888889,0.93,3.6547,305,14.9086,1016.43
7.622222222,5.644444444,0.89,10.8675,327,14.9086,1016.56
7.627777778,6.611111111,0.86,6.5205,319,13.3791,1017.15
7.044444444,4.855555556,0.86,11.3988,271,9.982,1017.37
8.6,7.038888889,0.84,9.66,297,9.982,1018.25
9.65,7.383333333,0.84,15.9551,289,9.982,1019.24
12.10555556,12.10555556,0.72,13.1698,310,9.982,1019.83
12.77777778,12.77777778,0.71,13.1698,301,11.2056,1020.51
13.81111111,13.81111111,0.65,9.6761,307,11.4471,1020.91
16.01666667,16.01666667,0.48,11.2378,307,11.27,1020.6
17.12777778,17.12777778,0.47,12.7029,308,11.27,1020.39
17.14444444,17.14444444,0.43,10.6099,279,11.4471,1020.34
17.77777778,17.77777778,0.4,7.9534,272,11.2056,1019.7
17.77777778,17.77777778,0.37,2.5921,351,11.2056,1018.89
17.80555556,17.80555556,0.43,11.0124,175,10.3523,1018.48
16.15555556,16.15555556,0.52,9.1931,172,9.982,1017.87
14.05,14.05,0.63,9.1609,160,9.982,1017.56
13.08888889,13.08888889,0.67,9.2736,138,9.982,1017.38
12.28888889,12.28888889,0.72,9.4507,141,9.982,1017.58
12.77777778,12.77777778,0.66,11.0768,141,15.8263,1017.65
12.72777778,12.72777778,0.67,13.3791,149,14.9569,1017.36
12.26666667,12.26666667,0.69,14.1358,151,15.8263,1016.8
11.71111111,11.71111111,0.71,11.3183,158,15.8263,1016.64
10.82777778,10.82777778,0.86,9.177,259,14.168,1013.13
12.2,12.2,0.59,14.168,141,15.8263,1014.79
12.2,12.2,0.6,14.2968,151,15.8263,1014.25
11.68888889,11.68888889,0.68,13.8299,152,14.9569,1013.95
11.20555556,11.20555556,0.77,14.007,132,9.982,1013.63
11.13333333,11.13333333,0.77,15.4882,150,9.982,1013.27
11.43888889,11.43888889,0.77,13.8782,163,10.3523,1013.56
13.03333333,13.03333333,0.81,14.4578,209,9.982,1012.85
17.24444444,17.24444444,0.62,25.0194,221,11.27,1012.15
17.73888889,17.73888889,0.53,27.37,230,11.4471,1011.71
17.84444444,17.84444444,0.56,22.218,251,11.27,1011.28
18.86111111,18.86111111,0.56,23.5382,250,11.27,1010.99
18.66666667,18.66666667,0.56,19.8996,240,11.3988,1010.93
17.82222222,17.82222222,0.56,17.5007,243,11.27,1010.7
17.8,17.8,0.59,17.6939,281,11.27,1010.52
17.35,17.35,0.57,19.5615,295,11.3988,1010.69
16.06666667,16.06666667,0.67,21.8155,280,11.2056,1010.86
14.93333333,14.93333333,0.73,17.2753,280,11.2056,1011.14
13.92222222,13.92222222,0.78,11.7691,279,11.2861,1011.64
12.75555556,12.75555556,0.84,11.0446,270,11.0768,1012.02
12.75555556,12.75555556,0.84,11.0607,277,15.6975,1012.21
12.37222222,12.37222222,0.86,7.2933,239,14.8764,1012.33
